RefDes,Value,Name,Quantity
"C1, C2, C5, C6, C7, C9, C10, C11, C12, C13, C14, C15, C16, C19, C20",100nf,bypass,15
C3,4.7uf 16v,electrolytic,1
C4,330uf 16v,electrolytic,1
C8,,SUPERCAP,1
"C17, C18",22pf,CAPPTH2,2
"D1, D2, D3",1N5819,SCHOTTKY-DIODE,3
F1,,FUSE XF050,1
HVPS,,1364 tayloredge.com,1
J1,,2.1MMJACKTHM,1
"J2, J3",,SJ-3523-SMD AUDIO JACK,2
J5,,ICSP 6 PIN DUAL ROW HEADER MALE,1
J6,,FTDI 6 PIN SINGLE ROW HEADER MALE 90 degree,1
"LED1, LED2, LED3, LED4, LED5, LED6, LED7",,LED-RGB-CA-REMOTE,7
"LED8, LED9, LED10, LED11",,"LED5MM  blue, green, red, yellow",4
"NE1, NE2, NE3, NE4, NE5, NE6, NE7",,NE2-NEON-BULB,7
"NX1, NX2, NX3, NX4, NX5, NX6, NX7",,Header 12 PIN DUAL ROW FEMALE,7
PZ1,,BUZZERPTH,1
Q1,TEPT4400,TEPT4400 LIGHT SENSOR,1
"Q2, Q3, Q4, Q5, Q6, Q7, Q8",2N3904,2N3904,7
"Q9, Q10, Q11",2N7000,2N7000,3
R1,250k,RESISTORPTH-1/4W-VERT-KIT,1
R2,50k,RT22C2W,1
"R3, R22, R40, R41, R42",10k,RESISTORPTH-1/4W-VERT-KIT,5
"R4, R5, R6, R7, R8, R9, R12",15k,RESISTORPTH-1/4W-VERT-KIT,7
"R10, R11, R13, R14, R15, R30",270k,RESISTORPTH-1/4W-VERT-KIT,6
R16,68k,RESISTORPTH-1/4W-VERT-KIT,1
"R17, R19, R20, R21",620,RESISTORPTH-1/4W-VERT-KIT,4
R18,4.7k,RESISTORPTH-1/4W-VERT-KIT,1
"R23, R24, R25, R26, R27, R28, R29",1k,RESISTORPTH-1/4W-VERT-KIT,7
"R37, R38, R39",220,RPACK-BUSSED-8SIP-PTH-8-LP,3
"SW1, SW2, SW3, SW4",,SWITCH-MOMENTARY-2SIDE_EZ,4
SW5,,SWITCH-MOMENTARY-2PTH_EZ,1
U1,,L7805CV 5V REGULATOR,1
"U2, U3, U4",,HV5530-PLCC44,3
U5,,DS3231S RTC,1
U6,,DS18S20-TO92 TEMP SENSOR,1
U7,,ATMEGA1284P MICROCONTROLLER,1
U8,,MCP23017SP PORT EXPANDER,1
U9,,CD4504B LEVEL SHIFTER,1
Y1,,16MHz CRYSTAL,1
SOCKET,,44 PIN PLCC,3
SOCKET,,28 PIN DIP,1
SOCKET,,16 PIN DIP,1
,,,
"Tube Boards – Z570M Series, IN-14",,,
,,Header 12 PIN DUAL ROW MALE,7
Tubes,,Z570M Series or IN-14,7
,,,
,,,
Tube Boards – IN-12,,,
,,Header 12 PIN DUAL ROW MALE 90 DEGREE,7
,,Pins,84
Tubes,,IN-12,7
