"RefDes","Value","Name","Part","Quantity"
"C1, C2, C5, C6, C7, C9, C10, C11, C12, C13, C14, C15, C16, C19, C20, C21, C22","100nf","CAPPTH2","Part 1","17"
"C3, C4, C35","330uf 16v","Electrolytic 3","Part 1","3"
"C8","","SUPERCAP","Part 1","1"
"C17, C18","22pf","CAPPTH2","Part 1","2"
"C23","10uf 250v","Electrolytic 5.5","Part 1","1"
"D1","","1N5819","Part 1","1"
"D2, D3","1N5819","SCHOTTKY-DIODEDO41","Part 1","2"
"F1","","FUSE XF050","Part 1","1"
"HVPS","","1364 www.tayloredge.com","Part 1","1"
"J1","","2.1MMJACKTHM","Part 1","1"
"J2, J3","","AUDIO-3.5mmSMD","SJ-3523-SMT","2"
"J5","","ICSP 2x6 header","Part 1","1"
"J6","","FTDI 1x6 header, right angle","Part 1","1"
"J7","","HDR-1x4","Part 1","1"
"LED1, LED2, LED3, LED4, LED5, LED6, LED7","","LED-RGB-CA-REMOTE","Part 1","7"
"LED8-blue, LED9-green, LED10-red, LED11-yellow","","LED5MM","Part 1","4"
"NE1, NE2, NE3, NE4, NE5, NE6, NE7","","NE2-NEON-BULB-DRILL","Part 1","7"
"NX1, NX2, NX3, NX4, NX5, NX6, NX7","","IN-18","Part 1","7"
"PZ1","","BUZZERPTH","Part 1","1"
"Q1","TEPT4400 light sensor","TEPT4400","Part 1","1"
"Q2, Q3, Q4, Q5, Q6, Q7, Q8","2N3904","2N3904","Part 1","7"
"Q9, Q10, Q11","2N7000","2N7000","Part 1","3"
"R1","250k","RESISTORPTH-1/4W-VERT-KIT","Part 1","1"
"R2","50k variable resistor","RT22C2W","Part 1","1"
"R3, R4, R5, R6, R7, R8, R9, R11, R12, R22, R32, R40, R41, R42","10k","RESISTORPTH-1/4W-VERT-KIT","Part 1","14"
"R10, R13, R14, R15, R30, R31","270k","RESISTORPTH-1/4W-VERT-KIT","Part 1","6"
"R16","68k","RESISTORPTH-1/4W-VERT-KIT","Part 1","1"
"R17, R19, R20, R21","620","RESISTORPTH-1/4W-VERT-KIT","Part 1","4"
"R18","4.7k","RESISTORPTH-1/4W-VERT-KIT","Part 1","1"
"R23, R24, R25, R26, R27, R28, R29","1k","RESISTORPTH-1/4W-VERT-KIT","Part 1","7"
"R37, R38, R39","220 ohm","RPACK-BUSSED-8SIP-PTH-8-LP","Part 1","3"
"SW1, SW2, SW3, SW4","","SWITCH-MOMENTARY right angle ebay.com","Part 1","4"
"SW5","","SWITCH-MOMENTARY-2PTH ebay.com","Part 1","1"
"U1","","L7805CV","Part 1","1"
"U2, U3, U4","","HV5530-PLCC44","Part 1","3"
"U5","","DS3231S","Part 1","1"
"U6","","DS18S20-TO92","Part 1","1"
"U7","","ATMEGA1284P_PDIP","Part 1","1"
"U8","","MCP23017SP","Part 1","1"
"U9","","CD4504B","Part 1","1"
"U10","","16MHz Crystal","Part 1","1"
"U11","","LM1117SOT223 3.3v regulator","",""
"3 PLCC-44 sockets, 1 16 pin socket, 1 28 pin socket"," "," "," "," "
"7 neon bulbs, heat shrink tubing"," "," "," "," "
"For Zev-2-8, substitute LM2576T5.0 for 7805, add 100 mH choke"," "," "," "," "
"nRF24L01+ module, 3x6 female header"," "," "," "," "
